year,asset,metric,value,unit,source_id,notes
2023,Fort Hills,osg_expense,1607,CAD millions,S2,"Fort Hills OS&G expense."
2024,Fort Hills,osg_expense,2315,CAD millions,S2,"Fort Hills OS&G expense."
2025,Fort Hills,osg_expense,2505,CAD millions,S2,"Fort Hills OS&G expense."
2023,Fort Hills,non_production_costs,-220,CAD millions,S2,"Fort Hills non-production costs."
2024,Fort Hills,non_production_costs,-267,CAD millions,S2,"Fort Hills non-production costs."
2025,Fort Hills,non_production_costs,-360,CAD millions,S2,"Fort Hills non-production costs."
2023,Fort Hills,excess_power_capacity_and_other,-52,CAD millions,S2,"Fort Hills excess power capacity and other adjustment."
2024,Fort Hills,excess_power_capacity_and_other,-32,CAD millions,S2,"Fort Hills excess power capacity and other adjustment."
2025,Fort Hills,excess_power_capacity_and_other,-25,CAD millions,S2,"Fort Hills excess power capacity and other adjustment."
2023,Fort Hills,cash_operating_costs,1335,CAD millions,S2,"Fort Hills cash operating costs."
2024,Fort Hills,cash_operating_costs,2016,CAD millions,S2,"Fort Hills cash operating costs."
2025,Fort Hills,cash_operating_costs,2120,CAD millions,S2,"Fort Hills cash operating costs."
2023,Fort Hills,production_volume,106.4,mbbls/d,S2,"Fort Hills production volumes used in cash operating cost calculation."
2024,Fort Hills,production_volume,168.0,mbbls/d,S2,"Fort Hills production volumes used in cash operating cost calculation."
2025,Fort Hills,production_volume,175.4,mbbls/d,S2,"Fort Hills production volumes used in cash operating cost calculation."
2023,Fort Hills,cash_operating_cost_per_barrel,34.40,CAD/bbl,S2,"Fort Hills cash operating cost per barrel."
2024,Fort Hills,cash_operating_cost_per_barrel,32.80,CAD/bbl,S2,"Fort Hills cash operating cost per barrel."
2025,Fort Hills,cash_operating_cost_per_barrel,33.10,CAD/bbl,S2,"Fort Hills cash operating cost per barrel."
2025,Fort Hills,cash_operating_cost_reason,1,indicator,S2,"Fort Hills cash operating costs per barrel increased in 2025 primarily due to increased mining activities and higher commodity input costs, partially offset by increased production volumes."
