date,aeco_cad_gj
2015-01-02,2.73
2015-01-05,2.68
2015-01-06,2.55
2015-01-07,2.55
2015-01-08,2.56
2015-01-09,2.58
2015-01-12,2.48
2015-01-13,2.56
2015-01-14,2.76
2015-01-15,2.75
2015-01-16,2.63
2015-01-20,2.46
2015-01-21,2.6
2015-01-22,2.48
2015-01-23,2.58
2015-01-26,2.53
2015-01-27,2.61
2015-01-28,2.54
2015-01-29,2.51
2015-01-30,2.39
2015-02-02,2.48
2015-02-03,2.48
2015-02-04,2.47
2015-02-05,2.36
2015-02-06,2.36
2015-02-09,2.44
2015-02-10,2.54
2015-02-11,2.64
2015-02-12,2.5
2015-02-13,2.59
2015-02-17,2.56
2015-02-18,2.67
2015-02-19,2.68
2015-02-20,2.93
2015-02-23,2.76
2015-02-24,2.71
2015-02-25,2.66
2015-02-26,2.52
2015-02-27,2.52
2015-03-02,2.5
2015-03-03,2.47
2015-03-04,2.51
2015-03-05,2.53
2015-03-06,2.59
2015-03-09,4.36
2015-03-10,2.48
2015-03-11,2.6
2015-03-12,2.52
2015-03-13,2.48
2015-03-16,2.58
2015-03-17,2.73
2015-03-18,2.73
2015-03-19,2.65
2015-03-20,2.67
2015-03-23,2.62
2015-03-24,2.68
2015-03-25,2.6
2015-03-26,2.52
2015-03-27,2.51
2015-03-30,2.49
2015-03-31,2.5
2015-04-01,2.4
2015-04-02,2.48
2015-04-06,2.44
2015-04-07,2.46
2015-04-08,2.4
2015-04-09,2.38
2015-04-10,2.32
2015-04-13,2.36
2015-04-14,2.36
2015-04-15,2.38
2015-04-16,2.39
2015-04-17,2.37
2015-04-20,2.33
2015-04-21,2.37
2015-04-22,2.43
2015-04-23,2.35
2015-04-24,2.37
2015-04-27,2.31
2015-04-28,2.35
2015-04-29,2.4
2015-04-30,2.54
2015-05-01,2.55
2015-05-04,2.6
2015-05-05,2.57
2015-05-06,2.56
2015-05-07,2.57
2015-05-08,2.64
2015-05-11,2.63
2015-05-12,2.67
2015-05-13,2.71
2015-05-14,2.76
2015-05-15,2.76
2015-05-18,2.76
2015-05-19,2.75
2015-05-20,2.72
2015-05-21,2.74
2015-05-22,2.66
2015-05-26,2.59
2015-05-27,2.57
2015-05-28,2.45
2015-05-29,2.38
2015-06-01,2.35
2015-06-02,2.37
2015-06-03,2.34
2015-06-04,2.33
2015-06-05,2.25
2015-06-08,2.38
2015-06-09,2.51
2015-06-10,2.53
2015-06-11,2.46
2015-06-12,2.38
2015-06-15,2.54
2015-06-16,2.56
2015-06-17,2.56
2015-06-18,2.41
2015-06-19,2.46
2015-06-22,2.45
2015-06-23,2.44
2015-06-24,2.47
2015-06-25,2.54
2015-06-26,2.42
2015-06-29,2.51
2015-06-30,2.49
2015-07-01,2.48
2015-07-02,2.56
2015-07-06,2.51
2015-07-07,2.52
2015-07-08,2.5
2015-07-09,2.52
2015-07-10,2.76
2015-07-13,2.78
2015-07-14,2.76
2015-07-15,2.78
2015-07-16,2.72
2015-07-17,2.7
2015-07-20,2.69
2015-07-21,2.74
2015-07-22,2.78
2015-07-23,2.73
2015-07-24,2.68
2015-07-27,2.74
2015-07-28,2.77
2015-07-29,2.81
2015-07-30,2.76
2015-07-31,2.74
2015-08-03,2.72
2015-08-04,2.84
2015-08-05,2.84
2015-08-06,2.81
2015-08-07,2.77
2015-08-10,2.82
2015-08-11,2.82
2015-08-12,2.91
2015-08-13,2.82
2015-08-14,2.81
2015-08-17,2.81
2015-08-18,2.76
2015-08-19,2.71
2015-08-20,2.72
2015-08-21,2.66
2015-08-24,2.64
2015-08-25,2.7
2015-08-26,2.73
2015-08-27,2.7
2015-08-28,2.76
2015-08-31,2.76
2015-09-01,2.76
2015-09-02,2.76
2015-09-03,2.73
2015-09-04,2.71
2015-09-08,2.76
2015-09-09,2.69
2015-09-10,2.73
2015-09-11,2.71
2015-09-14,2.85
2015-09-15,2.86
2015-09-16,2.78
2015-09-17,2.76
2015-09-18,2.71
2015-09-21,2.67
2015-09-22,2.7
2015-09-23,2.62
2015-09-24,2.64
2015-09-25,2.62
