scenario,wti_usd_bbl,wti_wcs_diff_usd_bbl,implied_wcs_usd_bbl,implied_wcs_cad_bbl,cost_case,cash_operating_cost_cad_bbl,margin_cad_bbl,investment_attractiveness_score,decision_recommendation
Low price / wide differential,49.822,16.789,33.033,45.255210000000005,Improved cost case,31.6,13.655210000000004,33.79315714285715,Maintain selective/discipline-focused investment
Low price / wide differential,49.822,16.789,33.033,45.255210000000005,Base cost case,33.1,12.155210000000004,31.650300000000005,Maintain selective/discipline-focused investment
Low price / wide differential,49.822,16.789,33.033,45.255210000000005,Stressed cost case,36.75,8.505210000000005,26.436014285714293,Limit new capital; focus on maintenance and cost control
Base case,62.16761904761905,13.897500000000008,48.27011904761904,66.13006309523809,Improved cost case,31.6,34.530063095238084,63.614375850340124,Continue productivity-focused Fort Hills investment
Base case,62.16761904761905,13.897500000000008,48.27011904761904,66.13006309523809,Base cost case,33.1,33.030063095238084,61.47151870748297,Continue productivity-focused Fort Hills investment
Base case,62.16761904761905,13.897500000000008,48.27011904761904,66.13006309523809,Stressed cost case,36.75,29.380063095238086,56.25723299319727,Continue productivity-focused Fort Hills investment
High price / moderate differential,73.08818181818182,13.897500000000008,59.190681818181815,81.0912340909091,Improved cost case,31.6,49.491234090909096,84.98747727272728,Continue productivity-focused Fort Hills investment
High price / moderate differential,73.08818181818182,13.897500000000008,59.190681818181815,81.0912340909091,Base cost case,33.1,47.991234090909096,82.84462012987014,Continue productivity-focused Fort Hills investment
High price / moderate differential,73.08818181818182,13.897500000000008,59.190681818181815,81.0912340909091,Stressed cost case,36.75,44.3412340909091,77.63033441558443,Continue productivity-focused Fort Hills investment
Boom price / narrow differential,84.74590476190477,11.968421052631577,72.77748370927318,99.70515268170428,Improved cost case,31.6,68.10515268170428,100.0,Continue productivity-focused Fort Hills investment
Boom price / narrow differential,84.74590476190477,11.968421052631577,72.77748370927318,99.70515268170428,Base cost case,33.1,66.60515268170428,100.0,Continue productivity-focused Fort Hills investment
Boom price / narrow differential,84.74590476190477,11.968421052631577,72.77748370927318,99.70515268170428,Stressed cost case,36.75,62.95515268170428,100.0,Continue productivity-focused Fort Hills investment
